npb_name,conflict_team,conflict_first_year,player_type,romaji,fg_candidates,reason,master_english,same_year_conflict,no_recent,npb_first_year_PA,npb_first_year_wOBA,npb_first_year_ERA,npb_first_year_IP
マルティネス,日本ハム,2018,pitcher,maruteinesu,,no_match,Raidel Martinez,True,True,,,3.51,161.2
マルティネス,中日,2023,pitcher,maruteinesu,,no_match,Raidel Martinez,True,True,,,0.39,46.2
マーティン,日本ハム,2016,pitcher,maatein,Chris Martin (2015); Rafael Martin (2015); Cody Martin (2015),3_candidates,,False,True,,,1.07,50.2
マーティン,ロッテ,2019,pitcher,maatein,Chris Martin (2018); Rafael Martin (2016); Cody Martin (2017); Kyle Martin (2017); Leonys Martin (2017),5_candidates,,True,False,228,0.3733436290256157,,
マートン,阪神,2015,hitter,maaton,,no_match,Matt Murton,False,True,583,0.31800217443647305,,
ミコライオ,楽天,2016,pitcher,mikoraio,,no_match,Kam Mickolio,False,True,,,2.38,45.1
ミレッジ,ヤクルト,2015,hitter,mirejji,,no_match,Lastings Milledge,False,True,81,0.26202752475671365,,
ムリーロ,楽天,2015,hitter,muriiro,,no_match,Agustin Murillo,False,True,37,0.35770378397967134,,
メヒア,西武,2015,hitter,mehia,,no_match,Alejandro Mejia,False,True,525,0.35373217234561133,,
メヒア,中日,2023,hitter,mehia,Adalberto Mejia (2019); Francisco Mejia (2022); Alex Mejia (2017); Erick Mejia (2020); Humberto Mejia (2021),6_candidates,Alejandro Mejia,False,True,,,2.23,44.1
メンドーサ,日本ハム,2015,pitcher,mendoosa,,no_match,Luis Mendoza,False,True,,,3.51,148.2
メンドーサ,阪神,2017,pitcher,mendoosa,,no_match,Luis Mendoza,True,False,,,5.14,21.0
モスコーソ,DeNA,2015,pitcher,mosukooso,,no_match,Guillermo Moscoso,False,True,,,5.19,60.2
モヤ,中日,2018,hitter,moya,Steven Moya (2016); Gabriel Moya (2017),2_candidates,Steven Moya,False,True,101,0.35104971147382247,,
ライブリー,日本ハム,2015,pitcher,raiburii,,no_match,Mitch Lively,False,True,,,5.30,18.2
リズ,楽天,2016,pitcher,rizu,,no_match,Radhames Liz,False,True,,,6.94,11.2
リベロ,ヤクルト,2017,hitter,ribero,,no_match,Carlos Rivero,False,True,208,0.2660362497306571,,
ルナ,中日,2015,hitter,runa,,no_match,Hector Luna,False,True,564,0.3549104775711421,,
ルブラン,西武,2015,pitcher,ruburan,,no_match,Wade LeBlanc,False,True,,,4.23,44.2
ルーキ,ヤクルト,2016,pitcher,ruuki,,no_match,Josh Lueke,False,True,,,3.06,64.2
レイ,楽天,2015,pitcher,rei,,no_match,Kenneth Ray,False,True,,,3.79,107.0
ロサリオ,広島,2015,hitter,rosario,,no_match,Rainel Rosario,False,True,136,0.3145847302541806,,
ロドリゲス,日本ハム,2018,pitcher,rodorigesu,,no_match,Joely Rodríguez,True,True,,,5.26,37.2
ロドリゲス,オリックス,2020,pitcher,rodorigesu,,no_match,Joely Rodríguez,True,False,211,0.29363512047632234,,
ロドリゲス,阪神,2022,pitcher,rodorigesu,,no_match,Joely Rodríguez,True,False,70,0.21897884060584688,,
ロドリゲス,ヤクルト,2023,pitcher,rodorigesu,,no_match,Joely Rodríguez,True,False,,,4.09,33.0
ロマック,DeNA,2016,hitter,romakku,Jamie Romak,same_player_team_change,Jamie Romak,False,True,85,0.20156046576796938,,
ロマン,ヤクルト,2015,pitcher,roman,,no_match,Orlando Roman,False,True,,,2.40,78.2
ロメロ,中日,2019,hitter,romero,Stefen Romero (2016); Enny Romero (2018); Fernando Romero (2018),3_candidates,Stefen Romero,True,False,38,0.08880143606738469,,
ロメロ,DeNA,2021,hitter,romero,Stefen Romero (2016); Enny Romero (2018); Fernando Romero (2019); JoJo Romero (2020); Seth Romero (2020),5_candidates,Stefen Romero,True,False,30,0.19838957648798997,,
ロメロ,ロッテ,2021,hitter,romero,Stefen Romero (2016); Enny Romero (2018); Fernando Romero (2019); JoJo Romero (2020); Seth Romero (2020),5_candidates,Stefen Romero,True,False,,,1.54,23.1
松元ユウイチ,ヤクルト,2015,hitter,matsumoto yuuichi,,no_match,Yuichi Matsumoto,False,True,51,0.20305061068453883,,
ＤＪ．ジョンソン,広島,2020,pitcher,D J . jonson,Jim Johnson (2018); Erik Johnson (2016); Brian Johnson (2019); Steve Johnson (2016); Pierce Johnson (2018),6_candidates,DJ Johnson,True,True,,,4.61,13.2
