player,team,AVG,G,PA,AB,H,HR,RBI,SB,BB,HBP,SO,SH,GDP,OBP,SLG,OPS,RC27,XR27,year
エスコバー,ヤクルト,0.273,104,402,377,103,1,30,6,13,9,52,1,9,0.312,0.329,0.641,3.3,3.2,2020
山川　穂高,西武,0.205,102,401,322,66,24,73,0,64,13,100,0,6,0.357,0.45,0.807,5.65,5.89,2020
吉川　尚輝,巨人,0.274,112,389,354,97,8,32,11,30,3,60,2,6,0.336,0.398,0.734,4.87,4.71,2020
山田　哲人,ヤクルト,0.254,94,384,334,85,12,52,8,48,0,83,0,6,0.346,0.419,0.766,5.15,5.14,2020
ボーア,阪神,0.243,99,379,329,80,17,45,1,45,3,88,0,13,0.338,0.422,0.76,4.61,4.72,2020
Ｔ－岡田,オリックス,0.256,100,377,328,84,16,55,5,40,4,87,0,11,0.34,0.457,0.797,5.11,5.23,2020
藤岡　裕大,ロッテ,0.229,106,370,314,72,4,33,8,36,1,60,16,5,0.309,0.315,0.624,3.36,3.42,2020
甲斐　拓也,ソフトバンク,0.211,104,360,289,61,11,33,4,43,3,80,22,7,0.317,0.377,0.694,3.66,3.83,2020
周東　佑京,ソフトバンク,0.27,103,346,307,83,1,27,50,24,2,79,11,2,0.325,0.352,0.677,4.88,4.8,2020
梅野　隆太郎,阪神,0.262,98,342,298,78,7,29,5,33,0,77,9,9,0.333,0.389,0.723,4.35,4.3,2020
ジョーンズ,オリックス,0.258,87,338,302,78,12,43,1,32,2,66,0,9,0.331,0.417,0.749,4.71,4.75,2020
金子　侑司,西武,0.249,86,338,301,75,3,21,14,29,0,55,5,5,0.312,0.302,0.615,3.14,3.27,2020
ピレラ,広島,0.266,99,337,316,84,11,34,2,19,2,53,0,4,0.312,0.411,0.723,4.45,4.4,2020
木浪　聖也,阪神,0.249,92,334,297,74,3,25,2,24,2,54,8,1,0.307,0.354,0.66,3.93,3.88,2020
西川　龍馬,広島,0.304,76,328,296,90,6,32,6,28,2,52,2,6,0.368,0.426,0.794,5.86,5.57,2020
山崎　晃大朗,ヤクルト,0.245,109,323,282,69,3,23,8,31,1,70,7,5,0.32,0.305,0.625,3.09,3.21,2020
茂木　栄五郎,楽天,0.301,73,321,276,83,7,33,8,39,5,52,0,4,0.396,0.457,0.852,6.92,6.7,2020
松原　聖弥,巨人,0.263,86,313,278,73,3,19,12,29,0,71,4,4,0.33,0.371,0.701,4.55,4.51,2020
中島　宏之,巨人,0.297,100,312,279,83,7,29,0,31,1,59,0,11,0.369,0.419,0.788,5.12,5.0,2020
福田　周平,オリックス,0.258,76,312,260,67,0,24,13,43,3,44,3,5,0.366,0.335,0.7,4.68,4.69,2020
糸井　嘉男,阪神,0.268,86,311,269,72,2,28,2,38,3,50,0,5,0.363,0.357,0.72,4.92,4.81,2020
安達　了一,オリックス,0.289,78,311,266,77,2,23,15,26,1,48,16,9,0.353,0.361,0.713,4.34,4.25,2020
西浦　直亨,ヤクルト,0.245,101,310,286,70,10,43,4,16,2,74,4,11,0.288,0.385,0.672,3.3,3.37,2020
大城　卓三,巨人,0.27,93,308,274,74,9,41,1,30,0,82,1,1,0.339,0.412,0.751,5.31,5.29,2020
ロペス,DeNA,0.246,81,305,293,72,12,42,0,10,0,36,0,8,0.269,0.396,0.665,3.39,3.5,2020
木村　文紀,西武,0.231,90,301,264,61,8,33,5,18,7,75,9,4,0.295,0.383,0.677,3.61,3.75,2020
長野　久義,広島,0.285,95,299,267,76,10,42,1,29,1,61,0,5,0.355,0.468,0.823,6.02,5.9,2020
中村　剛也,西武,0.213,79,297,258,55,9,31,0,34,3,75,0,7,0.31,0.372,0.682,3.73,3.85,2020
ウィーラー,巨人,0.247,98,288,263,65,12,36,3,22,2,47,0,6,0.309,0.418,0.727,4.25,4.33,2020
大城　滉二,オリックス,0.207,94,285,251,52,1,14,7,20,3,51,11,4,0.274,0.231,0.505,1.93,2.04,2020
辰己　涼介,楽天,0.223,104,282,251,56,8,28,11,20,2,57,9,1,0.286,0.378,0.664,3.66,3.72,2020
田中　和基,楽天,0.24,80,282,254,61,8,25,6,23,1,76,3,2,0.305,0.382,0.687,4.13,4.18,2020
柴田　竜拓,DeNA,0.266,110,276,233,62,2,20,0,29,4,50,9,1,0.356,0.352,0.708,4.82,4.67,2020
戸柱　恭孝,DeNA,0.212,96,276,259,55,5,23,0,11,0,53,5,8,0.244,0.309,0.552,1.9,2.02,2020
グラシアル,ソフトバンク,0.277,69,276,256,71,10,35,2,16,3,62,0,2,0.326,0.441,0.767,5.36,5.27,2020
菅野　剛士,ロッテ,0.26,81,275,223,58,2,20,1,45,2,55,5,7,0.389,0.359,0.748,4.92,4.83,2020
木下　拓哉,中日,0.267,88,269,251,67,6,32,0,12,1,49,5,1,0.303,0.402,0.705,4.41,4.25,2020
オースティン,DeNA,0.286,65,269,238,68,20,56,0,29,1,69,0,4,0.364,0.605,0.969,7.77,7.65,2020
清宮　幸太郎,日本ハム,0.19,96,263,226,43,7,22,2,33,3,59,0,6,0.3,0.323,0.623,3.2,3.39,2020
會澤　翼,広島,0.266,79,263,229,61,7,36,2,22,11,51,1,8,0.359,0.415,0.774,5.16,5.02,2020
メヒア,西武,0.207,74,260,237,49,11,33,0,20,2,82,0,5,0.273,0.409,0.682,3.58,3.7,2020
角中　勝也,ロッテ,0.244,84,254,217,53,2,15,2,24,5,41,7,7,0.332,0.341,0.673,3.82,3.8,2020
アルモンテ,中日,0.294,62,247,214,63,9,29,1,30,2,42,0,9,0.385,0.463,0.847,6.16,6.03,2020
銀次,楽天,0.236,88,245,212,50,0,23,3,23,2,28,5,5,0.313,0.274,0.586,2.89,3.02,2020
糸原　健斗,阪神,0.294,63,244,218,64,3,20,1,19,3,33,3,3,0.357,0.376,0.733,4.93,4.85,2020
田村　龍弘,ロッテ,0.217,92,237,203,44,4,23,1,20,3,45,10,3,0.295,0.31,0.605,2.99,3.1,2020
荻野　貴司,ロッテ,0.291,53,236,203,59,1,10,19,24,2,23,6,2,0.37,0.389,0.759,5.74,5.48,2020
坂倉　将吾,広島,0.287,81,228,209,60,3,26,1,17,2,36,0,6,0.346,0.411,0.758,4.93,4.67,2020
大和,DeNA,0.281,85,225,199,56,4,23,3,20,0,28,3,8,0.342,0.387,0.729,4.22,4.29,2020
福田　秀平,ロッテ,0.216,62,225,204,44,5,19,3,17,0,73,4,3,0.276,0.353,0.629,2.84,2.87,2020
バレンティン,ソフトバンク,0.168,60,218,191,32,9,22,0,25,0,59,0,8,0.261,0.346,0.607,2.4,2.71,2020
倉本　寿彦,DeNA,0.276,82,216,199,55,1,17,0,16,1,42,0,2,0.333,0.312,0.645,3.97,3.86,2020
福田　永将,中日,0.246,64,216,195,48,5,24,0,18,2,43,0,7,0.315,0.39,0.705,3.96,3.95,2020
若月　健矢,オリックス,0.24,75,215,192,46,3,19,2,9,5,40,8,4,0.29,0.349,0.639,3.31,3.28,2020
西田　明央,ヤクルト,0.232,69,215,190,44,7,20,0,20,3,48,1,4,0.313,0.368,0.682,3.84,3.95,2020
ロドリゲス,オリックス,0.218,59,211,193,42,6,25,1,14,3,55,0,3,0.28,0.363,0.642,3.39,3.49,2020
清田　育宏,ロッテ,0.278,70,209,180,50,7,23,0,22,2,52,5,6,0.363,0.467,0.829,5.63,5.42,2020
宗　佑磨,オリックス,0.225,72,203,182,41,1,9,5,10,6,32,5,2,0.288,0.308,0.596,2.73,2.72,2020
伏見　寅威,オリックス,0.259,71,198,189,49,6,23,0,6,0,35,2,4,0.281,0.413,0.693,3.83,3.84,2020
ビヤヌエバ,日本ハム,0.22,54,196,168,37,4,19,1,22,4,39,0,1,0.321,0.31,0.631,3.62,3.89,2020
平田　良介,中日,0.235,55,193,166,39,3,17,0,24,2,33,0,4,0.337,0.331,0.668,3.89,3.94,2020
中島　卓也,日本ハム,0.201,88,191,159,32,0,8,11,22,0,36,10,1,0.298,0.233,0.531,2.68,2.74,2020
神里　和毅,DeNA,0.308,80,190,169,52,3,17,7,15,3,42,1,3,0.37,0.42,0.79,6.0,5.87,2020
宇佐見　真吾,日本ハム,0.178,80,187,169,30,3,15,0,8,0,45,9,5,0.213,0.237,0.45,0.89,1.12,2020
陽川　尚将,阪神,0.247,71,182,158,39,8,24,2,15,6,42,2,4,0.333,0.437,0.77,4.77,4.84,2020
牧原　大成,ソフトバンク,0.241,77,180,170,41,1,8,6,3,1,25,4,2,0.256,0.324,0.579,2.78,2.84,2020
平沼　翔太,日本ハム,0.228,52,180,158,36,0,6,1,12,4,24,6,5,0.299,0.291,0.59,2.54,2.52,2020
塩見　泰隆,ヤクルト,0.279,43,179,154,43,8,21,13,17,5,44,3,4,0.369,0.487,0.856,6.49,6.4,2020
上林　誠知,ソフトバンク,0.181,69,178,160,29,6,20,8,11,4,39,2,1,0.25,0.331,0.581,2.78,3.04,2020
今宮　健太,ソフトバンク,0.268,43,177,164,44,6,22,2,5,0,22,5,2,0.285,0.445,0.73,4.45,4.53,2020
モヤ,オリックス,0.274,46,176,164,45,12,38,0,11,1,33,0,7,0.324,0.567,0.891,5.88,5.8,2020
明石　健志,ソフトバンク,0.253,63,172,154,39,2,17,4,12,0,32,5,1,0.305,0.364,0.669,3.88,3.84,2020
宮本　丈,ヤクルト,0.274,94,171,146,40,2,12,3,18,2,23,5,3,0.361,0.37,0.731,4.86,4.7,2020
川瀬　晃,ソフトバンク,0.191,70,164,141,27,0,10,2,11,1,26,10,0,0.253,0.248,0.501,1.99,2.1,2020
太田　光,楽天,0.2,67,164,130,26,2,16,0,18,2,38,11,2,0.301,0.323,0.624,3.07,3.28,2020
松本　剛,日本ハム,0.203,84,162,138,28,1,11,5,8,4,21,11,1,0.265,0.268,0.533,2.26,2.39,2020
佐野　皓大,オリックス,0.214,77,162,140,30,0,3,20,9,0,37,13,2,0.262,0.293,0.555,2.66,2.65,2020
川島　慶三,ソフトバンク,0.263,59,162,137,36,4,9,0,19,4,17,2,2,0.369,0.38,0.748,4.76,4.78,2020
杉谷　拳士,日本ハム,0.221,88,161,131,29,2,11,4,12,4,32,14,2,0.306,0.344,0.65,3.43,3.38,2020
若林　晃弘,巨人,0.247,76,159,146,36,2,14,2,8,1,32,3,6,0.288,0.342,0.631,2.55,2.61,2020
清水　優心,日本ハム,0.193,69,157,135,26,3,16,0,7,1,37,12,5,0.234,0.311,0.546,1.78,1.97,2020
鈴木　将平,西武,0.207,46,157,140,29,1,10,0,10,1,24,4,2,0.261,0.286,0.547,2.13,2.34,2020
亀井　善行,巨人,0.255,51,156,141,36,2,17,0,11,1,21,1,3,0.31,0.348,0.657,3.59,3.67,2020
井領　雅貴,中日,0.2,79,155,135,27,0,12,0,18,0,24,2,4,0.294,0.222,0.516,2.02,2.12,2020
中川　圭太,オリックス,0.146,45,155,144,21,2,13,3,9,0,25,1,5,0.195,0.208,0.403,0.4,0.67,2020
パーラ,巨人,0.267,47,154,146,39,4,13,0,8,0,35,0,6,0.305,0.384,0.689,3.38,3.36,2020
ブラッシュ,楽天,0.235,37,149,119,28,2,18,1,25,2,46,0,2,0.369,0.345,0.714,4.83,5.06,2020
大盛　穂,広島,0.259,73,148,135,35,2,16,5,11,1,50,0,1,0.318,0.385,0.703,4.29,4.28,2020
レアード,ロッテ,0.233,39,147,133,31,6,15,0,13,0,28,0,5,0.299,0.391,0.69,3.65,3.81,2020
廣岡　大志,ヤクルト,0.215,87,142,121,26,8,15,4,16,0,43,3,4,0.302,0.446,0.748,4.38,4.69,2020
杉本　裕太郎,オリックス,0.268,41,141,127,34,2,17,1,10,4,34,0,4,0.34,0.354,0.695,4.21,4.15,2020
小幡　竜平,阪神,0.22,54,134,127,28,0,7,3,5,1,37,1,1,0.256,0.26,0.515,2.06,2.1,2020
小郷　裕哉,楽天,0.295,58,129,105,31,4,12,8,19,1,34,3,0,0.405,0.438,0.843,7.14,7.11,2020
柿沼　友哉,ロッテ,0.16,56,129,106,17,0,9,0,5,3,31,15,2,0.219,0.17,0.389,0.64,0.77,2020
佐藤　都志也,ロッテ,0.228,60,127,114,26,2,12,0,9,2,25,2,1,0.296,0.316,0.612,3.26,3.29,2020
マルテ,阪神,0.252,29,119,103,26,4,14,1,14,0,14,0,6,0.336,0.447,0.783,4.65,4.78,2020
横尾　俊建,日本ハム,0.252,44,116,107,27,2,11,0,6,2,16,0,3,0.302,0.327,0.629,3.25,3.37,2020
乙坂　智,DeNA,0.208,85,115,101,21,1,7,5,12,0,28,1,2,0.289,0.267,0.557,2.82,3.0,2020
炭谷　銀仁朗,巨人,0.18,56,114,100,18,1,7,0,8,2,23,3,3,0.252,0.23,0.482,1.46,1.64,2020
雄平,ヤクルト,0.223,43,113,103,23,0,9,3,6,1,23,0,2,0.265,0.262,0.528,2.33,2.63,2020
北條　史也,阪神,0.192,40,112,99,19,2,7,2,9,1,23,3,2,0.266,0.293,0.559,2.45,2.55,2020
Ａ．マルティネス,中日,0.295,39,109,95,28,2,13,0,14,0,31,0,1,0.385,0.421,0.806,6.33,6.08,2020
内田　靖人,楽天,0.172,38,109,93,16,5,18,1,14,1,31,0,5,0.284,0.366,0.65,2.91,3.25,2020
中井　大介,DeNA,0.25,69,105,100,25,2,4,1,3,1,23,1,1,0.279,0.36,0.639,3.49,3.46,2020
山足　達也,オリックス,0.219,63,105,96,21,1,5,3,2,1,13,6,0,0.242,0.302,0.545,2.37,2.36,2020
濱田　太貴,ヤクルト,0.2,33,105,100,20,3,7,0,5,0,30,0,1,0.238,0.33,0.568,2.42,2.53,2020
藤原　恭大,ロッテ,0.26,26,105,96,25,3,10,4,6,0,33,2,1,0.301,0.406,0.707,4.32,4.37,2020
石井　一成,日本ハム,0.179,59,104,95,17,0,3,1,3,0,13,5,1,0.202,0.242,0.444,1.06,1.22,2020
大下　誠一郎,オリックス,0.216,32,104,88,19,2,9,0,8,5,15,2,3,0.314,0.352,0.666,3.36,3.49,2020
西浦　颯大,オリックス,0.187,49,97,91,17,2,4,3,5,0,21,1,1,0.229,0.264,0.493,1.54,1.74,2020
デスパイネ,ソフトバンク,0.224,25,97,85,19,6,12,0,12,0,11,0,5,0.32,0.447,0.767,4.21,4.36,2020
重信　慎之介,巨人,0.256,60,96,90,23,1,6,5,6,0,33,0,1,0.302,0.367,0.669,4.05,3.93,2020
王　柏融,日本ハム,0.207,52,95,87,18,2,9,0,6,1,27,0,2,0.263,0.322,0.585,2.56,2.75,2020
坂本　誠志郎,阪神,0.213,38,95,75,16,0,4,1,13,0,20,7,1,0.33,0.267,0.596,3.01,3.02,2020
渡邊　佳明,楽天,0.235,35,95,85,20,0,12,0,3,0,15,6,1,0.258,0.318,0.576,2.56,2.56,2020
小田　裕也,オリックス,0.239,87,94,88,21,1,7,4,2,1,23,3,1,0.264,0.352,0.616,2.91,2.89,2020
シエラ,中日,0.225,25,94,80,18,1,7,1,10,3,25,0,6,0.33,0.288,0.617,2.69,2.88,2020
福留　孝介,阪神,0.154,43,92,78,12,1,12,0,11,0,31,0,4,0.25,0.218,0.468,1.14,1.69,2020
中村　悠平,ヤクルト,0.175,29,92,80,14,0,3,0,9,0,14,2,2,0.256,0.2,0.456,1.18,1.44,2020
下妻　貴寛,楽天,0.156,43,90,77,12,1,9,0,1,0,26,11,0,0.165,0.247,0.411,0.83,1.02,2020
北村　拓己,巨人,0.227,57,88,75,17,2,10,0,10,1,24,2,2,0.326,0.333,0.659,3.62,3.66,2020
中谷　将大,阪神,0.215,70,87,79,17,2,16,1,5,1,27,1,0,0.267,0.304,0.571,2.87,3.13,2020
遠藤　一星,中日,0.219,65,87,73,16,0,4,0,6,3,12,4,1,0.301,0.233,0.534,2.27,2.48,2020
長谷川　勇也,ソフトバンク,0.224,29,87,76,17,1,7,0,10,1,18,0,2,0.322,0.329,0.651,3.61,3.58,2020
メヒア,広島,0.188,37,85,80,15,2,4,1,5,0,21,0,3,0.235,0.288,0.523,1.66,1.81,2020
岡島　豪郎,楽天,0.2,35,85,75,15,0,9,0,8,0,26,2,2,0.277,0.307,0.584,2.51,2.45,2020
荒木　貴裕,ヤクルト,0.164,63,84,73,12,1,7,0,6,1,18,3,3,0.235,0.247,0.481,1.23,1.49,2020
植田　海,阪神,0.153,74,83,59,9,0,3,9,14,4,22,6,0,0.351,0.186,0.537,2.92,3.09,2020
加藤　翔平,ロッテ,0.3,22,79,70,21,0,3,3,8,1,15,0,0,0.38,0.4,0.78,5.91,5.6,2020
田中　俊太,巨人,0.265,48,78,68,18,1,6,2,8,1,15,0,0,0.346,0.368,0.714,5.27,5.29,2020
原口　文仁,阪神,0.278,48,78,72,20,3,19,0,5,1,16,0,2,0.333,0.444,0.778,5.08,4.94,2020
陽　岱鋼,巨人,0.238,38,77,63,15,1,6,1,9,3,21,0,1,0.351,0.302,0.652,4.25,4.61,2020
西野　真弘,オリックス,0.246,23,77,69,17,0,3,0,5,0,10,3,1,0.297,0.29,0.587,2.9,2.82,2020
郡司　裕也,中日,0.156,30,76,64,10,0,4,0,9,1,19,1,1,0.267,0.203,0.47,1.64,1.89,2020
西村　凌,オリックス,0.161,29,76,62,10,1,3,2,9,0,12,5,0,0.268,0.242,0.51,1.9,2.1,2020
野村　佑希,日本ハム,0.257,21,76,74,19,3,18,0,1,1,17,0,1,0.276,0.473,0.749,4.54,4.47,2020
川越　誠司,西武,0.156,48,74,64,10,2,5,0,9,0,24,1,0,0.26,0.281,0.542,2.4,2.69,2020
和田　康士朗,ロッテ,0.203,71,69,59,12,0,0,23,6,1,23,3,0,0.288,0.22,0.508,3.74,3.82,2020
足立　祐一,楽天,0.167,42,66,60,10,1,3,0,6,0,15,0,2,0.242,0.267,0.509,1.57,1.76,2020
岡田　雅利,西武,0.107,29,65,56,6,0,3,0,1,1,7,7,4,0.138,0.125,0.263,-0.95,-0.82,2020
武田　健吾,中日,0.182,84,64,55,10,0,2,1,5,0,13,3,2,0.246,0.218,0.464,1.31,1.55,2020
岡　大海,ロッテ,0.143,62,64,56,8,0,2,7,7,0,18,1,1,0.238,0.143,0.381,0.69,0.96,2020
山野辺　翔,西武,0.233,53,64,60,14,0,4,5,1,2,11,0,2,0.266,0.283,0.549,2.15,2.3,2020
樋口　龍之介,日本ハム,0.14,25,64,50,7,1,1,0,9,1,15,4,2,0.283,0.2,0.483,1.53,1.8,2020
淺間　大基,日本ハム,0.19,42,63,58,11,0,1,0,3,0,21,2,1,0.23,0.224,0.454,1.16,1.23,2020
伊藤　光,DeNA,0.216,30,63,51,11,0,6,0,10,1,15,1,2,0.355,0.314,0.669,3.82,3.72,2020
上本　崇司,広島,0.212,56,62,52,11,0,4,2,5,2,4,3,3,0.305,0.25,0.555,2.27,2.28,2020
髙谷　裕亮,ソフトバンク,0.25,33,62,52,13,2,10,0,4,2,19,4,0,0.328,0.423,0.751,4.83,4.76,2020
後藤　駿太,オリックス,0.12,23,62,50,6,0,1,2,8,0,17,4,0,0.241,0.12,0.361,0.94,1.2,2020
上田　剛史,ヤクルト,0.125,53,61,56,7,0,2,5,2,0,15,2,3,0.153,0.143,0.295,-0.26,0.05,2020
太田　椋,オリックス,0.259,20,61,54,14,3,5,0,4,1,19,2,0,0.322,0.463,0.785,5.34,5.33,2020
嶺井　博希,DeNA,0.327,41,60,55,18,0,8,0,4,1,14,0,1,0.383,0.382,0.765,5.73,5.36,2020
野間　峻祥,広島,0.24,70,56,50,12,0,1,2,4,0,17,2,0,0.296,0.24,0.536,1.94,2.06,2020
堂上　直倫,中日,0.2,43,55,50,10,0,4,0,4,0,11,0,2,0.255,0.24,0.495,1.22,1.49,2020
磯村　嘉孝,広島,0.208,31,55,48,10,1,1,0,4,0,8,3,2,0.269,0.333,0.603,2.42,2.42,2020
細川　成也,DeNA,0.235,19,54,51,12,1,1,1,2,1,20,0,1,0.278,0.333,0.611,3.06,3.06,2020
田代　将太郎,ヤクルト,0.149,46,53,47,7,0,2,1,5,0,16,1,0,0.231,0.213,0.444,1.18,1.37,2020
中山　翔太,ヤクルト,0.229,29,53,48,11,4,8,0,3,1,19,0,2,0.283,0.5,0.783,4.31,4.72,2020
松井　佑介,オリックス,0.208,29,53,53,11,0,2,0,0,0,12,0,1,0.208,0.283,0.491,1.41,1.4,2020
呉　念庭,西武,0.227,51,52,44,10,0,5,2,4,2,8,2,1,0.32,0.295,0.615,2.8,2.78,2020
髙山　俊,阪神,0.152,42,52,46,7,0,3,1,3,1,10,1,0,0.216,0.217,0.433,1.37,1.66,2020
上本　博紀,阪神,0.171,25,51,41,7,0,4,2,4,0,11,5,2,0.239,0.244,0.483,0.93,1.18,2020
溝脇　隼人,中日,0.213,39,50,47,10,0,3,0,2,0,8,1,0,0.245,0.319,0.564,2.58,2.58,2020
増田　大輝,巨人,0.297,74,48,37,11,0,2,23,11,0,12,0,1,0.458,0.351,0.81,6.56,6.52,2020
岸田　行倫,巨人,0.302,34,48,43,13,1,5,0,3,0,16,1,4,0.34,0.442,0.782,3.9,3.92,2020
石川　慎吾,巨人,0.244,43,47,45,11,2,7,0,2,0,12,0,1,0.277,0.4,0.677,3.59,3.66,2020
宇草　孔基,広島,0.256,13,47,43,11,0,3,3,3,1,7,0,0,0.319,0.326,0.645,3.66,3.64,2020
山下　幸輝,DeNA,0.209,39,46,43,9,0,1,0,3,0,7,0,1,0.261,0.256,0.517,1.9,1.91,2020
古賀　優大,ヤクルト,0.048,27,46,42,2,0,1,0,0,2,4,1,4,0.089,0.048,0.137,-2.16,-1.77,2020
三森　大貴,ソフトバンク,0.163,24,46,43,7,0,2,1,1,1,17,1,0,0.2,0.209,0.409,0.69,0.81,2020
髙城　俊人,DeNA,0.19,23,46,42,8,3,5,0,2,1,22,1,1,0.244,0.405,0.649,2.9,3.2,2020
嶋　基宏,ヤクルト,0.098,20,45,41,4,0,4,0,3,0,19,1,1,0.159,0.146,0.305,-0.42,-0.24,2020
安部　友裕,広島,0.184,26,44,38,7,0,2,0,4,0,17,2,1,0.262,0.263,0.525,1.51,1.53,2020
加藤　匠馬,中日,0.135,29,43,37,5,0,1,0,1,0,8,5,1,0.158,0.162,0.32,-0.15,-0.1,2020
柘植　世那,西武,0.184,17,43,38,7,2,5,1,4,0,14,1,2,0.262,0.342,0.604,2.37,2.64,2020
川端　慎吾,ヤクルト,0.128,39,42,39,5,0,2,0,3,0,4,0,1,0.19,0.128,0.319,-0.19,0.05,2020
桑原　将志,DeNA,0.139,34,42,36,5,1,2,0,3,1,11,1,2,0.22,0.222,0.442,0.71,1.23,2020
真砂　勇介,ソフトバンク,0.314,50,41,35,11,1,6,2,4,2,11,0,0,0.415,0.514,0.929,7.48,7.2,2020
石川　昂弥,中日,0.222,14,41,36,8,0,1,0,3,1,12,1,1,0.3,0.278,0.578,2.6,2.57,2020
松井　雅人,オリックス,0.222,23,40,36,8,1,4,0,3,1,7,0,2,0.3,0.361,0.661,3.06,3.08,2020
羽月　隆太郎,広島,0.182,17,40,33,6,0,4,0,2,0,7,5,0,0.229,0.273,0.501,1.1,1.2,2020
高木　渉,西武,0.175,12,40,40,7,2,5,0,0,0,8,0,2,0.175,0.4,0.575,1.61,1.83,2020
鳥谷　敬,ロッテ,0.139,42,39,36,5,0,6,0,1,2,8,0,0,0.205,0.194,0.4,0.5,0.67,2020
藤田　一也,楽天,0.2,55,38,35,7,0,4,0,1,0,5,2,2,0.222,0.229,0.451,0.68,0.71,2020
岩見　雅紀,楽天,0.216,16,38,37,8,1,4,0,1,0,11,0,2,0.237,0.378,0.615,2.21,2.26,2020
下水流　昂,楽天,0.188,20,35,32,6,1,5,0,2,1,11,0,0,0.257,0.344,0.601,2.99,3.19,2020
頓宮　裕真,オリックス,0.313,12,35,32,10,2,5,0,3,0,11,0,0,0.371,0.594,0.965,8.37,7.97,2020
石垣　雅海,中日,0.121,25,34,33,4,1,1,0,1,0,12,0,0,0.147,0.212,0.359,0.2,0.53,2020
三好　匠,広島,0.125,62,29,24,3,0,2,0,2,0,5,2,0,0.185,0.125,0.31,0.21,0.79,2020
釜元　豪,ソフトバンク,0.192,32,29,26,5,0,2,3,3,0,10,0,1,0.276,0.192,0.468,1.97,2.11,2020
楠本　泰史,DeNA,0.154,28,29,26,4,1,1,0,2,1,7,0,0,0.241,0.346,0.588,2.75,2.9,2020
立岡　宗一郎,巨人,0.261,29,27,23,6,1,4,1,4,0,6,0,1,0.37,0.478,0.849,6.14,5.97,2020
福田　光輝,ロッテ,0.087,15,26,23,2,0,0,0,3,0,8,0,0,0.192,0.13,0.323,0.11,0.26,2020
根尾　昂,中日,0.087,9,25,23,2,0,0,0,2,0,7,0,0,0.16,0.087,0.247,-0.66,-0.35,2020
石原　彪,楽天,0.174,18,24,23,4,0,1,0,0,0,13,1,0,0.174,0.217,0.391,0.54,0.61,2020
蝦名　達夫,DeNA,0.143,17,24,21,3,1,1,0,2,1,8,0,1,0.25,0.333,0.583,2.06,2.32,2020
髙濱　祐仁,日本ハム,0.316,10,23,19,6,0,0,0,2,0,6,2,0,0.381,0.316,0.697,4.73,4.57,2020
井野　卓,ヤクルト,0.105,32,22,19,2,0,4,0,1,0,6,2,1,0.15,0.211,0.361,-0.15,0.01,2020
廣澤　伸哉,オリックス,0.158,23,22,19,3,0,0,0,0,0,7,3,0,0.158,0.158,0.316,0.05,0.17,2020
石川　亮,日本ハム,0.143,17,22,21,3,0,1,0,0,0,8,1,0,0.143,0.19,0.333,0.01,0.11,2020
島田　海吏,阪神,0.176,43,21,17,3,0,1,3,2,1,4,1,0,0.3,0.176,0.476,3.1,3.1,2020
小林　誠司,巨人,0.056,10,21,18,1,0,0,0,0,2,4,1,0,0.15,0.056,0.206,-0.83,-0.51,2020
小島　脩平,オリックス,0.15,13,20,20,3,0,0,0,0,0,9,0,1,0.15,0.25,0.4,-0.03,-0.05,2020
ウレーニャ,巨人,0.167,11,20,18,3,0,0,0,2,0,8,0,0,0.25,0.167,0.417,1.14,1.39,2020
藤井　亮太,ヤクルト,0.278,10,20,18,5,0,0,0,1,0,3,1,0,0.316,0.278,0.594,3.3,3.26,2020
西巻　賢二,ロッテ,0.25,11,19,16,4,0,0,0,2,0,6,1,0,0.333,0.313,0.646,2.9,2.87,2020
谷内　亮太,日本ハム,0.313,50,18,16,5,0,3,0,1,0,3,0,0,0.333,0.313,0.646,4.35,4.95,2020
宜保　翔,オリックス,0.118,10,18,17,2,0,2,0,0,0,7,1,0,0.118,0.176,0.294,-0.35,-0.25,2020
田中　貴也,楽天,0.4,9,18,15,6,1,4,0,1,0,7,2,0,0.438,0.6,1.038,9.0,8.57,2020
紅林　弘太郎,オリックス,0.235,5,18,17,4,0,2,0,1,0,4,0,1,0.278,0.235,0.513,1.43,1.49,2020
熊谷　敬宥,阪神,0.313,38,17,16,5,0,3,3,1,0,5,0,0,0.353,0.438,0.79,4.73,4.47,2020
曽根　海成,広島,0.25,33,17,16,4,0,1,5,1,0,5,0,0,0.294,0.313,0.607,2.32,2.48,2020
茶谷　健太,ロッテ,0.063,31,17,16,1,0,0,1,0,0,6,1,0,0.063,0.063,0.125,-1.39,-1.15,2020
鶴岡　慎也,日本ハム,0.294,18,17,17,5,0,2,0,0,0,2,0,0,0.294,0.294,0.588,3.25,3.15,2020
黒川　史陽,楽天,0.143,10,17,14,2,0,2,0,1,1,6,0,1,0.235,0.143,0.378,0.23,1.06,2020
和田　恋,楽天,0.125,7,17,16,2,0,1,0,1,0,4,0,2,0.176,0.188,0.364,-0.86,-0.79,2020
伊藤　裕季也,DeNA,0.286,5,17,14,4,0,1,0,2,0,2,1,0,0.375,0.429,0.804,5.98,5.52,2020
山﨑　幹史,楽天,0.167,20,16,12,2,0,1,1,1,0,2,2,0,0.214,0.25,0.464,2.0,2.64,2020
渡辺　勝,中日,0.2,19,16,15,3,0,0,0,1,0,6,0,0,0.25,0.2,0.45,1.44,1.6,2020
