year,team,player
2018,広島,丸　佳浩
2018,広島,岩本　貴裕
2018,広島,福井　優也
2018,広島,九里　亜蓮
2018,広島,加藤　拓也
2018,広島,大瀬良　大地
2018,広島,今村　猛
2018,広島,岡田　明丈
2018,広島,野村　祐輔
2018,広島,永川　勝浩
2018,広島,中﨑　翔太
2018,広島,中村　奨成
2018,広島,薮田　和樹
2018,広島,横山　弘樹
2018,広島,新井　貴浩
2018,広島,中田　廉
2018,広島,會澤　翼
2018,広島,床田　寛樹
2018,広島,ケムナ　誠
2018,広島,一岡　竜司
2018,広島,石原　慶幸
2018,広島,白濱　裕太
2018,広島,菊池　涼介
2018,広島,高橋　昂也
2018,広島,下水流　昂
2018,広島,塹江　敦哉
2018,広島,野間　峻祥
2018,広島,赤松　真人
2018,広島,飯田　哲矢
2018,広島,磯村　嘉孝
2018,広島,藤井　皓哉
2018,広島,ジョンソン
2018,広島,土生　翔平
2018,広島,松山　竜平
2018,広島,桒原　樹
2018,広島,高橋　樹也
2018,広島,山口　翔
2018,広島,アドゥワ　誠
2018,広島,天谷　宗一郎
2018,広島,髙橋　大樹
2018,広島,鈴木　誠也
2018,広島,庄司　隼人
2018,広島,戸田　隆矢
2018,広島,船越　涼太
2018,広島,エルドレッド
2018,広島,辻　空
2018,広島,オスカル
2018,広島,ジャクソン
2018,広島,曽根　海成
2018,広島,永井　敦士
2018,広島,坂倉　将吾
2018,広島,ヘルウェグ
2018,広島,西川　龍馬
2018,広島,中村　恭平
2018,広島,長井　良太
2018,広島,遠藤　淳志
2018,広島,中村　祐太
2018,広島,平岡　敬人
2018,広島,青木　陸
2018,広島,カンポス
2018,広島,バティスタ
2018,広島,メヒア
2018,広島,フランスア
2018,広島,佐藤　祥万
2018,広島,岡林　飛翔
2018,広島,藤井　黎來
2018,広島,佐々木　健
2018,広島,木村　聡司
2018,広島,タバーレス
2018,日本ハム,斎藤　佑樹
2018,日本ハム,杉谷　拳士
2018,日本ハム,田中　賢介
2018,日本ハム,アルシア
2018,日本ハム,レアード
2018,日本ハム,中田　翔
2018,日本ハム,西川　遥輝
2018,日本ハム,近藤　健介
2018,日本ハム,中島　卓也
2018,日本ハム,清水　優心
2018,日本ハム,松本　剛
2018,日本ハム,石井　裕也
2018,日本ハム,加藤　貴之
2018,日本ハム,上沢　直之
2018,日本ハム,有原　航平
2018,日本ハム,浦野　博司
2018,日本ハム,トンキン
2018,日本ハム,上原　健太
2018,日本ハム,清宮　幸太郎
2018,日本ハム,鶴岡　慎也
2018,日本ハム,渡邉　諒
2018,日本ハム,森本　龍弥
2018,日本ハム,宮西　尚生
2018,日本ハム,淺間　大基
2018,日本ハム,マルティネス
2018,日本ハム,新垣　勇人
2018,日本ハム,井口　和朋
2018,日本ハム,鍵谷　陽平
2018,日本ハム,村田　透
2018,日本ハム,大累　進
2018,日本ハム,大田　泰示
2018,日本ハム,堀　瑞輝
2018,日本ハム,西村　天裕
2018,日本ハム,中村　勝
2018,日本ハム,矢野　謙次
2018,日本ハム,石井　一成
2018,日本ハム,高梨　裕稔
2018,日本ハム,高良　一輝
2018,日本ハム,ロドリゲス
2018,日本ハム,黒羽根　利規
2018,日本ハム,白村　明弘
2018,日本ハム,森山　恵佑
2018,日本ハム,平沼　翔太
2018,日本ハム,田中　瑛斗
2018,日本ハム,田中　豊樹
2018,日本ハム,高山　優希
2018,日本ハム,公文　克彦
2018,日本ハム,鈴木　遼太郎
2018,日本ハム,石川　直也
2018,日本ハム,宮台　康平
2018,日本ハム,立田　将太
2018,日本ハム,玉井　大翔
2018,日本ハム,難波　侑平
2018,日本ハム,藤岡　貴裕
2018,日本ハム,杉浦　稔大
2018,日本ハム,横尾　俊建
2018,日本ハム,吉田　侑樹
2018,日本ハム,郡　拓也
2018,日本ハム,姫野　優也
2018,日本ハム,髙濱　祐仁
2018,日本ハム,北浦　竜次
2018,日本ハム,谷口　雄也
2018,日本ハム,太田　賢吾
2018,日本ハム,大嶋　匠
2018,日本ハム,岸里　亮佑
2018,日本ハム,石川　亮
2018,日本ハム,今井　順之助
2018,日本ハム,實松　一成
2018,楽天,島井　寛仁
2018,楽天,松井　裕樹
2018,楽天,吉持　亮汰
2018,楽天,岡島　豪郎
2018,楽天,茂木　栄五郎
2018,楽天,藤田　一也
2018,楽天,今江　年晶
2018,楽天,オコエ　瑠偉
2018,楽天,岸　孝之
2018,楽天,近藤　弘樹
2018,楽天,岩見　雅紀
2018,楽天,則本　昂大
2018,楽天,美馬　学
2018,楽天,森　雄大
2018,楽天,塩見　貴洋
2018,楽天,藤平　尚真
2018,楽天,安樂　智大
2018,楽天,釜田　佳直
2018,楽天,戸村　健次
2018,楽天,聖澤　諒
2018,楽天,三好　匠
2018,楽天,田中　和基
2018,楽天,渡辺　直人
2018,楽天,小野　郁
2018,楽天,山下　斐紹
2018,楽天,池田　隆英
2018,楽天,枡田　慎太郎
2018,楽天,銀次
2018,楽天,山﨑　剛
2018,楽天,島内　宏明
2018,楽天,内田　靖人
2018,楽天,嶋　基宏
2018,楽天,西宮　悠介
2018,楽天,下妻　貴寛
2018,楽天,ウィーラー
2018,楽天,青山　浩二
2018,楽天,ハーマン
2018,楽天,宋　家豪
2018,楽天,足立　祐一
2018,楽天,菅原　秀
2018,楽天,濱矢　廣大
2018,楽天,渡邊　佑樹
2018,楽天,伊志嶺　忠
2018,楽天,アマダー
2018,楽天,耀飛
2018,楽天,フェルナンド
2018,楽天,森原　康平
2018,楽天,高梨　雄平
2018,楽天,ペゲーロ
2018,楽天,横山　貴明
2018,楽天,ディクソン
2018,楽天,寺岡　寛治
2018,楽天,八百板　卓丸
2018,楽天,辛島　航
2018,楽天,菊池　保則
2018,楽天,古川　侑利
2018,楽天,鶴田　圭祐
2018,楽天,西口　直人
2018,楽天,小山　雄輝
2018,楽天,福山　博之
2018,楽天,堀内　謙伍
2018,楽天,村林　一輝
2018,楽天,西巻　賢二
2018,楽天,細川　亨
2018,楽天,野元　浩輝
2018,楽天,石原　彪
2018,楽天,久保　裕也
2018,楽天,コラレス
2018,楽天,石橋　良太
2018,楽天,今野　龍太
2018,楽天,宮川　将
2018,楽天,入野　貴大
2018,楽天,匠
2018,楽天,山田　大樹
2018,楽天,千葉　耕太
2018,楽天,南　要輔
2018,楽天,向谷　拓巳
2018,楽天,木村　敏靖
2018,楽天,井手　亮太郎
2018,楽天,松本　京志郎
2018,楽天,中村　和希
2018,西武,水口　大地
2018,西武,栗山　巧
2018,西武,浅村　栄斗
2018,西武,外崎　修汰
2018,西武,源田　壮亮
2018,西武,松井　稼頭央
2018,西武,金子　侑司
2018,西武,木村　文紀
2018,西武,森　友哉
2018,西武,今井　達也
2018,西武,ワグナー
2018,西武,増田　達至
2018,西武,大石　達也
2018,西武,菊池　雄星
2018,西武,髙橋　光成
2018,西武,多和田　真三郎
2018,西武,齊藤　大将
2018,西武,高木　勇人
2018,西武,十亀　剣
2018,西武,中塚　駿太
2018,西武,野田　昇吾
2018,西武,平井　克典
2018,西武,川越　誠司
2018,西武,炭谷　銀仁朗
2018,西武,藤原　良平
2018,西武,小石　博孝
2018,西武,榎田　大樹
2018,西武,與座　海人
2018,西武,永江　恭平
2018,西武,山川　穂高
2018,西武,佐野　泰雄
2018,西武,伊藤　翔
2018,西武,岡田　雅利
2018,西武,玉村　祐典
2018,西武,呉　念庭
2018,西武,田村　伊知郎
2018,西武,相内　誠
2018,西武,マーティン
2018,西武,髙橋　朋己
2018,西武,小川　龍也
2018,西武,本田　圭佑
2018,西武,鈴木　将平
2018,西武,カスティーヨ
2018,西武,武隈　祥太
2018,西武,豊田　拓矢
2018,西武,福倉　健太郎
2018,西武,西川　愛也
2018,西武,山田　遥楓
2018,西武,愛斗
2018,西武,ウルフ
2018,西武,秋山　翔吾
2018,西武,金子　一輝
2018,西武,國場　翼
2018,西武,熊代　聖人
2018,西武,南川　忠亮
2018,西武,中村　剛也
2018,西武,平良　海馬
2018,西武,駒月　仁人
2018,西武,綱島　龍生
2018,西武,中田　祥多
2018,西武,斉藤　彰吾
2018,西武,松本　直晃
2018,西武,藤田　航生
2018,西武,ヒース
2018,西武,郭　俊麟
2018,西武,戸川　大輔
2018,西武,藤澤　亨明
2018,西武,坂田　遼
2018,西武,メヒア
2018,西武,高木　渉
2018,西武,齊藤　誠人
2018,阪神,上本　博紀
2018,阪神,鳥谷　敬
2018,阪神,北條　史也
2018,阪神,大山　悠輔
2018,阪神,熊谷　敬宥
2018,阪神,西岡　剛
2018,阪神,糸井　嘉男
2018,阪神,福留　孝介
2018,阪神,髙山　俊
2018,阪神,坂本　誠志郎
2018,阪神,岡本　洋介
2018,阪神,能見　篤史
2018,阪神,横山　雄哉
2018,阪神,岩貞　祐太
2018,阪神,馬場　皐輔
2018,阪神,藤浪　晋太郎
2018,阪神,ロサリオ
2018,阪神,岩田　稔
2018,阪神,藤川　球児
2018,阪神,江越　大賀
2018,阪神,呂　彦青
2018,阪神,尾仲　祐哉
2018,阪神,小野　泰己
2018,阪神,髙橋　遥人
2018,阪神,石崎　剛
2018,阪神,山崎　憲晴
2018,阪神,糸原　健斗
2018,阪神,谷川　昌希
2018,阪神,才木　浩人
2018,阪神,浜地　真澄
2018,阪神,森越　祐人
2018,阪神,マテオ
2018,阪神,長坂　拳弥
2018,阪神,福永　春吾
2018,阪神,髙橋　聡文
2018,阪神,竹安　大知
2018,阪神,守屋　功輝
2018,阪神,梅野　隆太郎
2018,阪神,藤谷　洸介
2018,阪神,秋山　拓巳
2018,阪神,山本　翔也
2018,阪神,モレノ
2018,阪神,今成　亮太
2018,阪神,青柳　晃洋
2018,阪神,伊藤　隼太
2018,阪神,小豆畑　眞也
2018,阪神,島田　海吏
2018,阪神,メッセンジャー
2018,阪神,陽川　尚将
2018,阪神,飯田　優也
2018,阪神,岡﨑　太一
2018,阪神,荒木　郁也
2018,阪神,小宮山　慎二
2018,阪神,中谷　将大
2018,阪神,望月　惇志
2018,阪神,植田　海
2018,阪神,板山　祐太郎
2018,阪神,桑原　謙太朗
2018,阪神,緒方　凌介
